"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"A1 Double Extra Large","a1.2xlarge","16.0 GiB","0 units","8 vCPUs","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","No","$0.204000 hourly","$0.128500 hourly","$0.334 hourly","$0.2585 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"A1 Quadruple Extra Large","a1.4xlarge","32.0 GiB","0 units","16 vCPUs","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","240","8","Yes","Yes","Yes","No","Unknown","No","$0.408000 hourly","$0.257000 hourly","$0.538 hourly","$0.387 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"A1 Large","a1.large","4.0 GiB","0 units","2 vCPUs","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","30","3","Yes","Yes","Yes","No","Unknown","No","$0.051000 hourly","$0.032100 hourly","$0.111 hourly","$0.0921 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"A1 Medium","a1.medium","2.0 GiB","0 units","1 vCPUs","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","8","2","Yes","Yes","Yes","No","Unknown","No","$0.025500 hourly","$0.016100 hourly","$0.0855 hourly","$0.0761 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"A1 Extra Large","a1.xlarge","8.0 GiB","0 units","4 vCPUs","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","No","$0.102000 hourly","$0.064300 hourly","$0.162 hourly","$0.1243 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C1 High-CPU Medium","c1.medium","1.7 GiB","5 units","2 vCPUs","0","0","2.5 units","Intel Xeon Family","unknown","unknown","unknown","unknown","350 GiB               HDD               + 900MB swap","No","N/A","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","12","2","No","No","No","No","PV","Yes","$0.130000 hourly","$0.091000 hourly","$0.19 hourly","$0.151 hourly","$0.23 hourly","$0.127 hourly","$0.210000 hourly","$0.179000 hourly","$0.31 hourly","$0.215 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.030 hourly"
"C1 High-CPU Extra Large","c1.xlarge","7.0 GiB","20 units","8 vCPUs","0","0","2.5 units","Intel Xeon Family","unknown","unknown","unknown","unknown","1680 GiB               (4 * 420 GiB HDD)","No","N/A","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","PV","Yes","$0.520000 hourly","$0.364000 hourly","$0.65 hourly","$0.494 hourly","$0.62 hourly","$0.4 hourly","$0.840000 hourly","$0.719000 hourly","$1.16 hourly","$0.793 hourly","$2.124 hourly","$1.537 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.120 hourly"
"C3 High-CPU Double Extra Large","c3.2xlarge","15.0 GiB","28 units","8 vCPUs","0","0","3.5 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","Yes","160 GiB               (2 * 80 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM, PV","Yes","$0.420000 hourly","$0.292000 hourly","$0.55 hourly","$0.422 hourly","$0.52 hourly","$0.328 hourly","$0.752000 hourly","$0.657000 hourly","$1.083 hourly","$0.771 hourly","$2.131 hourly","$1.542 hourly","$3.788 hourly","$3.664 hourly","$0.555 hourly","$0.401 hourly","$1.38 hourly","$1.225 hourly","$3.42 hourly","$3.265 hourly","unavailable","$0.105 hourly"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","55 units","16 vCPUs","0","0","3.438 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","Yes","320 GiB               (2 * 160 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM, PV","Yes","$0.840000 hourly","$0.584000 hourly","$0.97 hourly","$0.714 hourly","$0.94 hourly","$0.62 hourly","$1.504000 hourly","$1.317000 hourly","$2.166 hourly","$1.54 hourly","$4.262 hourly","$3.084 hourly","$7.576 hourly","$7.329 hourly","$1.11 hourly","$0.801 hourly","$2.76 hourly","$2.451 hourly","$6.84 hourly","$6.531 hourly","unavailable","$0.210 hourly"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","108 units","32 vCPUs","0","0","3.375 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","Yes","640 GiB               (2 * 320 GiB SSD)","No","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM, PV","Yes","$1.680000 hourly","$1.168000 hourly","$1.81 hourly","$1.298 hourly","$1.78 hourly","$1.204 hourly","$3.008000 hourly","$2.631000 hourly","$4.332 hourly","$3.081 hourly","$8.523 hourly","$6.17 hourly","$15.152 hourly","$14.657 hourly","$2.288 hourly","$1.67 hourly","$6 hourly","$5.382 hourly","$15.18 hourly","$14.562 hourly","unavailable","$0.270 hourly"
"C3 High-CPU Large","c3.large","3.75 GiB","7 units","2 vCPUs","0","0","3.5 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","Yes","32 GiB               (2 * 16 GiB SSD)","No","No","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","30","3","Yes","No","Yes","No","HVM, PV","No","$0.105000 hourly","$0.073000 hourly","$0.165 hourly","$0.133 hourly","$0.205 hourly","$0.109 hourly","$0.188000 hourly","$0.165000 hourly","$0.271 hourly","$0.192 hourly","$0.561 hourly","$0.406 hourly","unavailable","unavailable","$0.173 hourly","$0.134 hourly","$0.585 hourly","$0.546 hourly","unavailable","unavailable","unavailable","unavailable"
"C3 High-CPU Extra Large","c3.xlarge","7.5 GiB","14 units","4 vCPUs","0","0","3.5 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","Yes","80 GiB               (2 * 40 GiB SSD)","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM, PV","Yes","$0.210000 hourly","$0.146000 hourly","$0.27 hourly","$0.206 hourly","$0.31 hourly","$0.182 hourly","$0.376000 hourly","$0.329000 hourly","$0.542 hourly","$0.386 hourly","$1.066 hourly","$0.771 hourly","$1.894 hourly","$1.833 hourly","$0.278 hourly","$0.2 hourly","$0.69 hourly","$0.613 hourly","$1.71 hourly","$1.633 hourly","unavailable","$0.053 hourly"
"C4 High-CPU Double Extra Large","c4.2xlarge","15.0 GiB","31 units","8 vCPUs","0","0","3.875 units","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.398000 hourly","$0.252000 hourly","$0.528 hourly","$0.382 hourly","$0.498 hourly","$0.285 hourly","$0.766000 hourly","$0.620000 hourly","$1.296 hourly","$0.761 hourly","$3.019 hourly","$2.525 hourly","$3.766 hourly","$3.62 hourly","$0.535 hourly","$0.387 hourly","$1.36 hourly","$1.212 hourly","$3.4 hourly","$3.252 hourly","$0.00 hourly","$0.105 hourly"
"C4 High-CPU Quadruple Extra Large","c4.4xlarge","30.0 GiB","62 units","16 vCPUs","0","0","3.875 units","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$0.796000 hourly","$0.504000 hourly","$0.926 hourly","$0.634 hourly","$0.896 hourly","$0.537 hourly","$1.532000 hourly","$1.240000 hourly","$1.814 hourly","$1.522 hourly","$5.538 hourly","$4.203 hourly","$7.532 hourly","$7.24 hourly","$1.07 hourly","$0.774 hourly","$2.72 hourly","$2.424 hourly","$6.8 hourly","$6.504 hourly","$0.00 hourly","$0.210 hourly"
"C4 High-CPU Eight Extra Large","c4.8xlarge","60.0 GiB","132 units","36 vCPUs","0","0","3.667 units","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","4000.0 Mbps","500.0 MB/s","32000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.591000 hourly","$1.008000 hourly","$1.721 hourly","$1.138 hourly","$1.691 hourly","$1.041 hourly","$3.091000 hourly","$2.664000 hourly","$3.881 hourly","$3.154 hourly","$12.485 hourly","$8.407 hourly","$16.747 hourly","$16.164 hourly","$2.208 hourly","$1.616 hourly","$5.92 hourly","$5.328 hourly","$15.1 hourly","$14.508 hourly","$0.00 hourly","$0.270 hourly"
"C4 High-CPU Large","c4.large","3.75 GiB","8 units","2 vCPUs","0","0","4 units","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","Yes","$0.100000 hourly","$0.063000 hourly","$0.16 hourly","$0.123 hourly","$0.2 hourly","$0.096 hourly","$0.192000 hourly","$0.155000 hourly","$0.331 hourly","$0.226 hourly","$1.319 hourly","$1.068 hourly","unavailable","unavailable","$0.168 hourly","$0.131 hourly","$0.58 hourly","$0.543 hourly","unavailable","unavailable","$0.00 hourly","$0.026 hourly"
"C4 High-CPU Extra Large","c4.xlarge","7.5 GiB","16 units","4 vCPUs","0","0","4 units","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.199000 hourly","$0.126000 hourly","$0.259 hourly","$0.186 hourly","$0.299 hourly","$0.159 hourly","$0.383000 hourly","$0.310000 hourly","$0.624 hourly","$0.381 hourly","$1.51 hourly","$1.27 hourly","$1.883 hourly","$1.81 hourly","$0.268 hourly","$0.194 hourly","$0.68 hourly","$0.606 hourly","$1.7 hourly","$1.626 hourly","$0.00 hourly","$0.052 hourly"
"C5 High-CPU 18xlarge","c5.18xlarge","144.0 GiB","281 units","72 vCPUs","0","0","3.903 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","Yes","Yes","Yes","No","HVM","Yes","$3.060000 hourly","$1.928000 hourly","$3.19 hourly","$2.058 hourly","$3.16 hourly","$1.961 hourly","$6.372000 hourly","$5.240000 hourly","$7.589 hourly","$6.457 hourly","$15.012 hourly","$13.88 hourly","$33.372 hourly","$32.24 hourly","$4.277 hourly","$3.145 hourly","$11.7 hourly","$10.568 hourly","$30.06 hourly","$28.928 hourly","$0.00 hourly","$0.270 hourly"
